"id";"bezeichnung";"id_short"
"08336";"Lörrach";"336"
"08337";"Waldshut";"337"
"08415";"Reutlingen";"415"
"08416";"Tübingen";"416"
"08417";"Zollernalbkreis";"417"
"08421";"Ulm, Stadt";"421"
"08425";"Alb-Donau-Kreis";"425"
"08426";"Biberach";"426"
"08435";"Bodenseekreis";"435"
"08436";"Ravensburg";"436"
"08437";"Sigmaringen";"437"
"09161";"Ingolstadt, Stadt";"161"
"09162";"München, Landeshauptstadt";"162"
"09163";"Rosenheim, Stadt";"163"
"09171";"Altötting";"171"
"09172";"Berchtesgadener Land";"172"
"09173";"Bad Tölz-Wolfratshausen";"173"
"09174";"Dachau";"174"
"09175";"Ebersberg";"175"
"09176";"Eichstätt";"176"
"09177";"Erding";"177"
"09178";"Freising";"178"
"09179";"Fürstenfeldbruck";"179"
"09180";"Garmisch-Partenkirchen";"180"
"09181";"Landsberg a. Lech";"181"
"09182";"Miesbach";"182"
"09183";"Mühldorf a. Inn";"183"
"09184";"München";"184"
"09185";"Neuburg-Schrobenhausen";"185"
"09186";"Pfaffenhofen a. d. Ilm";"186"
"09187";"Rosenheim";"187"
"09188";"Starnberg";"188"
"09189";"Traunstein";"189"
"09190";"Weilheim-Schongau";"190"
"09261";"Landshut, Stadt";"261"
"09262";"Passau, Stadt";"262"
"09263";"Straubing, Stadt";"263"
"09271";"Deggendorf";"271"
"09272";"Freyung-Grafenau";"272"
"09273";"Kelheim";"273"
"09274";"Landshut";"274"
"09275";"Passau";"275"
"09276";"Regen";"276"
"09277";"Rottal-Inn";"277"
"09278";"Straubing-Bogen";"278"
"09279";"Dingolfing-Landau";"279"
"09361";"Amberg, Stadt";"361"
"09362";"Regensburg, Stadt";"362"
"09363";"Weiden i.d.Opf., Stadt";"363"
"09371";"Amberg-Sulzbach";"371"
"09372";"Cham";"372"
"09373";"Neumarkt i.d.Opf.";"373"
"09374";"Neustadt a.d. Waldnaab";"374"
"09375";"Regensburg";"375"
"09376";"Schwandorf";"376"
"09377";"Tirschenreuth";"377"
"09461";"Bamberg, Stadt";"461"
"09462";"Bayreuth, Stadt";"462"
"09463";"Coburg, Stadt";"463"
"09464";"Hof, Stadt";"464"
"09471";"Bamberg";"471"
"09472";"Bayreuth";"472"
"09473";"Coburg";"473"
"09474";"Forchheim";"474"
"09475";"Hof";"475"
"09476";"Kronach";"476"
"09477";"Kulmbach";"477"
"09478";"Lichtenfels";"478"
"09479";"Wunsiedel i. Fichtelgebirge";"479"
"09561";"Ansbach, Stadt";"561"
"09562";"Erlangen, Stadt";"562"
"09563";"Fürth, Stadt";"563"
"09564";"Nürnberg, Stadt";"564"
"09565";"Schwabach, Stadt";"565"
"09571";"Ansbach";"571"
"09572";"Erlangen-Höchstadt";"572"
"09573";"Fürth";"573"
"09574";"Nürnberger Land";"574"
"09575";"Neustadt a.d. Aisch - Bad Windsheim";"575"
"09576";"Roth";"576"
"09577";"Weißenburg-Gunzenhausen";"577"
"09661";"Aschaffenburg, Stadt";"661"
"09662";"Schweinfurt, Stadt";"662"
"09663";"Würzburg, Stadt";"663"
"09671";"Aschaffenburg";"671"
"09672";"Bad Kissingen";"672"
"09673";"Rhön-Grabfeld";"673"
"09674";"Haßberge";"674"
"09675";"Kitzingen";"675"
"09676";"Miltenberg";"676"
"09677";"Main-Spessart";"677"
"09678";"Schweinfurt";"678"
"09679";"Würzburg";"679"
"09761";"Augsburg, Stadt";"761"
"09762";"Kaufbeuren, Stadt";"762"
"09763";"Kempten (Allgäu), Stadt";"763"
"09764";"Memmingen, Stadt";"764"
"09771";"Aichach-Friedberg";"771"
"09772";"Augsburg";"772"
"09773";"Dillingen a.d. Donau";"773"
"09774";"Günzburg";"774"
"09775";"Neu-Ulm";"775"
"09776";"Lindau-Bodensee";"776"
"09777";"Ostallgäu";"777"
"09778";"Unterallgäu";"778"
"09779";"Donau-Ries";"779"
"09780";"Oberallgäu";"780"
"10041";"Stadtverband Saarbrücken, Landeshauptsta";"041"
"10042";"Merzig-Wadern";"042"
"10043";"Neunkirchen";"043"
"10044";"Saarlouis";"044"
"10045";"Saar-Pfalz-Kreis";"045"
"10046";"Sankt Wendel";"046"
"11000";"Berlin";"000"
"12051";"Brandenburg an der Havel, Stadt";"051"
"12052";"Cottbus/Chosebuz, Stadt";"052"
"12053";"Frankfurt (Oder), Stadt";"053"
"12054";"Potsdam, Landeshauptstadt";"054"
"12060";"Barnim";"060"
"12061";"Dahme-Spreewald";"061"
"12062";"Elbe-Elster";"062"
"12063";"Havelland";"063"
"12064";"Märkisch-Oderland";"064"
"12065";"Oberhavel";"065"
"12066";"Oberspreewald-Lausitz";"066"
"12067";"Oder-Spree";"067"
"12068";"Ostprignitz-Ruppin";"068"
"12069";"Potsdam-Mittelmark";"069"
"12070";"Prignitz";"070"
"12071";"Spree-Neiße";"071"
"12072";"Teltow-Fläming";"072"
"12073";"Uckermark";"073"
"13003";"Rostock, Hansestadt";"003"
"13004";"Schwerin, Landeshauptstadt";"004"
"13071";"Mecklenburgische Seenplatte";"071"
"13072";"Rostock";"072"
"13073";"Vorpommern-Rügen";"073"
"13074";"Nordwestmecklenburg";"074"
"13075";"Vorpommern-Greifswald";"075"
"13076";"Ludwigslust-Parchim";"076"
"14511";"Chemnitz, Stadt";"511"
"14521";"Erzgebirgskreis";"521"
"14522";"Mittelsachsen";"522"
"14523";"Vogtlandkreis";"523"
"14524";"Zwickau";"524"
"14612";"Dresden, Stadt";"612"
"14625";"Bautzen";"625"
"14626";"Görlitz";"626"
"14627";"Meißen";"627"
"14628";"Sächsische Schweiz-Osterzgebirge";"628"
"14713";"Leipzig, Stadt";"713"
"14729";"Leipzig";"729"
"14730";"Nordsachsen";"730"
"15001";"Dessau-Roßlau, Stadt";"001"
"15002";"Halle (Saale), Stadt";"002"
"15003";"Magdeburg, Landeshauptstadt";"003"
"15081";"Altmarkkreis Salzwedel";"081"
"15082";"Anhalt-Bitterfeld";"082"
"15083";"Börde";"083"
"15084";"Burgenlandkreis";"084"
"15085";"Harz";"085"
"15086";"Jerichower Land";"086"
"15087";"Mansfeld-Südharz";"087"
"15088";"Saalekreis";"088"
"15089";"Salzlandkreis";"089"
"15090";"Stendal";"090"
"15091";"Wittenberg";"091"
"16051";"Erfurt, Stadt";"051"
"16052";"Gera, Stadt";"052"
"16053";"Jena, Stadt";"053"
"16054";"Suhl, Stadt";"054"
"16055";"Weimar, Stadt";"055"
"16056";"Eisenach, Stadt";"056"
"16061";"Eichsfeld";"061"
"16062";"Nordhausen";"062"
"16063";"Wartburgkreis";"063"
"16064";"Unstrut-Hainich-Kreis";"064"
"16065";"Kyffhäuserkreis";"065"
"16066";"Schmalkalden-Meiningen";"066"
"16067";"Gotha";"067"
"16068";"Sömmerda";"068"
"16069";"Hildburghausen";"069"
"16070";"Ilm-Kreis";"070"
"16071";"Weimarer Land";"071"
"16072";"Sonneberg";"072"
"16073";"Saalfeld-Rudolstadt";"073"
"16074";"Saale-Holzland-Kreis";"074"
"16075";"Saale-Orla-Kreis";"075"
"16076";"Greiz";"076"
"16077";"Altenburger Land";"077"
